state,temp,condition
Alabama,25,Sunny
Alaska,5,Snow
Arizona,30,Sunny
Arkansas,28,Cloudy
California,22,Sunny
Colorado,15,Cloudy
Connecticut,18,Rain
Delaware,23,Sunny
Florida,32,Sunny
Georgia,27,Sunny
Hawaii,29,Sunny
Idaho,12,Snow
Illinois,20,Rain
Indiana,22,Cloudy
Iowa,17,Rain
Kansas,25,Sunny
Kentucky,24,Cloudy
Louisiana,30,Sunny
Maine,10,Snow
Maryland,21,Rain
Massachusetts,18,Cloudy
Michigan,15,Snow
Minnesota,10,Snow
Mississippi,28,Sunny
Missouri,24,Cloudy
Montana,8,Snow
Nebraska,20,Cloudy
Nevada,35,Sunny
New Hampshire,12,Snow
New Jersey,20,Rain
New Mexico,28,Sunny
New York,15,Cloudy
North Carolina,26,Sunny
North Dakota,7,Snow
Ohio,21,Cloudy
Oklahoma,27,Sunny
Oregon,16,Rain
Pennsylvania,19,Rain
Rhode Island,18,Cloudy
South Carolina,28,Sunny
South Dakota,10,Snow
Tennessee,25,Sunny
Texas,33,Sunny
Utah,30,Sunny
Vermont,11,Snow
Virginia,24,Cloudy
Washington,17,Rain
West Virginia,20,Cloudy
Wisconsin,12,Snow
Wyoming,8,Snow
